PubmedID,Title,Publication Date,Non-academic Author,Corresponding Author Email,Company Affiliation(s)
40137145,Navigating Diabetes in Pregnancy: Critical Approaches to Mitigate Risks and Improve Outcomes for Mother and Child.,06 Mar 2025,Unknown,Unknown,"Molecular Cardiology and Angiogenesis Laboratory, Department of Surgery, University of Connecticut School of Medicine, Farmington, CT 06030, USA.; Molecular Cardiology and Angiogenesis Laboratory, Department of Surgery, University of Connecticut School of Medicine, Farmington, CT 06030, USA.; Molecular Cardiology and Angiogenesis Laboratory, Department of Surgery, University of Connecticut School of Medicine, Farmington, CT 06030, USA.; Molecular Cardiology and Angiogenesis Laboratory, Department of Surgery, University of Connecticut School of Medicine, Farmington, CT 06030, USA.; Molecular Cardiology and Angiogenesis Laboratory, Department of Surgery, University of Connecticut School of Medicine, Farmington, CT 06030, USA."
40137124,"Unravelling Shared Pathways Linking Metabolic Syndrome, Mild Cognitive Impairment, Dementia, and Sarcopenia.",27 Feb 2025,Unknown,Unknown,"Geriatric Medicine Department, Morgagni-Pierantoni Hospital, Via Carlo Forlanini 34, 47121 Forlì, Italy.; Geriatric and Diabetology Unit, Department of Internal Medicine, University of Pavia, Corso Strada Nuova 63, 27100 Pavia, Italy."
40136627,Immunomodulatory Effect of Rivaroxaban Nanoparticles Alone and in Combination with Sitagliptin on Diabetic Rat Model.,19 Mar 2025,Unknown,Unknown,"Department of Medical Pharmacology, Faculty of Medicine, Assiut University, Assiut 71515, Egypt.; Department of Pharmacology, Faculty of Veterinary Medicine, Assiut University, Assiut 71515, Egypt.; Division of Microbiology, Immunology and Biotechnology, Department of Natural Products and Alternative Medicine, Faculty of Pharmacy, University of Tabuk, Tabuk 71491, Saudi Arabia.; Division of Microbiology, Immunology and Biotechnology, Department of Natural Products and Alternative Medicine, Faculty of Pharmacy, University of Tabuk, Tabuk 71491, Saudi Arabia.; Department of Pharmacology and Toxicology, Faculty of Pharmacy, University of Tabuk, Tabuk 71491, Saudi Arabia.; Department of Medical Microbiology, Faculty of Medicine, University of Tabuk, Tabuk 71491, Saudi Arabia.; Department of Clinical Laboratory Sciences, College of Applied Medical Sciences, Taibah University, Madina 41477, Saudi Arabia.; Department of Pathology and Laboratory Medicine, College of Medicine, University of Cincinnati, Cincinnati, OH 45221, USA.; Department of Pharmaceutics and Pharmaceutical Technology, Faculty of Pharmacy, Badr University in Assiut, Naser City 2014101, Assiut, Egypt.; Department of Pharmaceutics, Faculty of Pharmacy, Assiut University, Assiut 71515, Egypt.; Department of Pathology and Clinical Pathology, Faculty of Veterinary Medicine, Assiut University, Assiut 71515, Egypt.; Department of Medical Parasitology, Faculty of Medicine, Assiut University, Assiut 71515, Egypt.; Department of Medical Pharmacology, Faculty of Medicine, Assiut University, Assiut 71515, Egypt."
40136614,In and Outpatients Bacteria Antibiotic Resistances in Positive Urine Cultures from a Tertiary Care Hospital in the Western Part of Romania-A Cross-Sectional Study.,01 Mar 2025,Unknown,Unknown,"Centre for Molecular Research in Nephrology and Vascular Disease, ""Victor Babes"" University of Medicine and Pharmacy-Faculty of Medicine, Eftimie Murgu Square No. 2, 300041 Timisoara, Romania.; Dialysis Compartment, ""Pius Brinzeu"" Emergency Clinical County University Hospital, 300723 Timisoara, Romania.; Microbiology Department, Multidisciplinary Research Center of Antimicrobial Resistance, ""Victor Babes"" University of Medicine and Pharmacy, Eftimie Murgu Square No. 2, 300041 Timisoara, Romania.; Microbiology Laboratory, ""Pius Brinzeu"" Emergency Clinical County University Hospital, 300723 Timisoara, Romania.; Centre for Molecular Research in Nephrology and Vascular Disease, ""Victor Babes"" University of Medicine and Pharmacy-Faculty of Medicine, Eftimie Murgu Square No. 2, 300041 Timisoara, Romania.; Nephrology Discipline, ""Victor Babes"" University of Medicine and Pharmacy, Eftimie Murgu Square No. 2, 300041 Timisoara, Romania.; Centre for Molecular Research in Nephrology and Vascular Disease, ""Victor Babes"" University of Medicine and Pharmacy-Faculty of Medicine, Eftimie Murgu Square No. 2, 300041 Timisoara, Romania.; ""Louis Turcanu"" Emergency County Hospital for Children, 300011 Timisoara, Romania.; Centre for Molecular Research in Nephrology and Vascular Disease, ""Victor Babes"" University of Medicine and Pharmacy-Faculty of Medicine, Eftimie Murgu Square No. 2, 300041 Timisoara, Romania.; Nephrology Discipline, ""Victor Babes"" University of Medicine and Pharmacy, Eftimie Murgu Square No. 2, 300041 Timisoara, Romania.; Centre for Molecular Research in Nephrology and Vascular Disease, ""Victor Babes"" University of Medicine and Pharmacy-Faculty of Medicine, Eftimie Murgu Square No. 2, 300041 Timisoara, Romania.; Nephrology Discipline, ""Victor Babes"" University of Medicine and Pharmacy, Eftimie Murgu Square No. 2, 300041 Timisoara, Romania.; Centre for Molecular Research in Nephrology and Vascular Disease, ""Victor Babes"" University of Medicine and Pharmacy-Faculty of Medicine, Eftimie Murgu Square No. 2, 300041 Timisoara, Romania.; Department of Second Internal Medicine Diabetes, Nutrition, Metabolic Diseases, and Systemic Rheumatology, ""Victor Babes"" University of Medicine and Pharmacy, 300041 Timisoara, Romania.; Department of Diabetes, Nutrition and Metabolic Diseases Clinic, ""Pius Brînzeu"" Emergency Clinical County University Hospital, 300723 Timisoara, Romania.; Department of Urology, ""Pius Brînzeu"" Emergency Clinical County University Hospital, 300723 Timisoara, Romania.; PhD Department,""Victor Babes"" University of Medicine and Pharmacy, Eftimie Murgu Square No. 2, 300041 Timisoara, Romania.; Centre for Molecular Research in Nephrology and Vascular Disease, ""Victor Babes"" University of Medicine and Pharmacy-Faculty of Medicine, Eftimie Murgu Square No. 2, 300041 Timisoara, Romania.; Nephrology Discipline, ""Victor Babes"" University of Medicine and Pharmacy, Eftimie Murgu Square No. 2, 300041 Timisoara, Romania.; Department of Nephrology, ""Pius Brînzeu"" Emergency Clinical County University Hospital, 300723 Timisoara, Romania.; Centre for Molecular Research in Nephrology and Vascular Disease, ""Victor Babes"" University of Medicine and Pharmacy-Faculty of Medicine, Eftimie Murgu Square No. 2, 300041 Timisoara, Romania.; Department of Cardiology, ""Pius Brînzeu"" Emergency Clinical County University Hospital, 300723 Timisoara, Romania.; Cardiology Discipline, ""Victor Babes"" University of Medicine and Pharmacy, Eftimie Murgu Square No. 2, 300041 Timisoara, Romania."
40136443,Unravelling Convergent Signaling Mechanisms Underlying the Aging-Disease Nexus Using Computational Language Analysis.,14 Mar 2025,Unknown,Unknown,"Receptor Biology Lab., University of Antwerp, 2610 Wilrijk, Belgium.; IMIM, Hospital del Mar Research Institute, 08003 Barcelona, Spain.; Receptor Biology Lab., University of Antwerp, 2610 Wilrijk, Belgium.; Department of Chemistry, KU Leuven, Oude Markt 13, 3000 Leuven, Belgium.; Receptor Biology Lab., University of Antwerp, 2610 Wilrijk, Belgium.; Receptor Biology Lab., University of Antwerp, 2610 Wilrijk, Belgium.; Receptor Biology Lab., University of Antwerp, 2610 Wilrijk, Belgium.; Lexicon Pharmaceuticals Inc., 2445 Technology Forest Blvd Fl 1, The Woodlands, TX 77381, USA.; Department of Drug Discovery, H. Lee Moffitt Cancer Center, 12902 Magnolia Drive, Tampa, FL 33612, USA.; Receptor Biology Lab., University of Antwerp, 2610 Wilrijk, Belgium.; Department of Drug Discovery, H. Lee Moffitt Cancer Center, 12902 Magnolia Drive, Tampa, FL 33612, USA."
40135648,The Relationship Between Glycated Albumin and Time in Tight Range in Type 2 Diabetes., Mar 2025,Unknown,Unknown,"Department of Endocrinology and Metabolism, Shanghai Sixth People's Hospital Affiliated to Shanghai Jiao Tong University School of Medicine; Shanghai Clinical Center for Diabetes, Shanghai Diabetes Institute; Shanghai Key Laboratory of Diabetes Mellitus, Shanghai, China.; Department of Endocrinology and Metabolism, Shanghai Sixth People's Hospital Affiliated to Shanghai Jiao Tong University School of Medicine; Shanghai Clinical Center for Diabetes, Shanghai Diabetes Institute; Shanghai Key Laboratory of Diabetes Mellitus, Shanghai, China.; Department of Endocrinology and Metabolism, Shanghai Sixth People's Hospital Affiliated to Shanghai Jiao Tong University School of Medicine; Shanghai Clinical Center for Diabetes, Shanghai Diabetes Institute; Shanghai Key Laboratory of Diabetes Mellitus, Shanghai, China.; Department of Endocrinology and Metabolism, Shanghai Sixth People's Hospital Affiliated to Shanghai Jiao Tong University School of Medicine; Shanghai Clinical Center for Diabetes, Shanghai Diabetes Institute; Shanghai Key Laboratory of Diabetes Mellitus, Shanghai, China.; Department of Endocrinology and Metabolism, Shanghai Sixth People's Hospital Affiliated to Shanghai Jiao Tong University School of Medicine; Shanghai Clinical Center for Diabetes, Shanghai Diabetes Institute; Shanghai Key Laboratory of Diabetes Mellitus, Shanghai, China.; Department of Endocrinology and Metabolism, Shanghai Sixth People's Hospital Affiliated to Shanghai Jiao Tong University School of Medicine; Shanghai Clinical Center for Diabetes, Shanghai Diabetes Institute; Shanghai Key Laboratory of Diabetes Mellitus, Shanghai, China.; Department of Endocrinology and Metabolism, Shanghai Sixth People's Hospital Affiliated to Shanghai Jiao Tong University School of Medicine; Shanghai Clinical Center for Diabetes, Shanghai Diabetes Institute; Shanghai Key Laboratory of Diabetes Mellitus, Shanghai, China.; Department of Endocrinology and Metabolism, Shanghai Sixth People's Hospital Affiliated to Shanghai Jiao Tong University School of Medicine; Shanghai Clinical Center for Diabetes, Shanghai Diabetes Institute; Shanghai Key Laboratory of Diabetes Mellitus, Shanghai, China.; Department of Endocrinology and Metabolism, Shanghai Sixth People's Hospital Affiliated to Shanghai Jiao Tong University School of Medicine; Shanghai Clinical Center for Diabetes, Shanghai Diabetes Institute; Shanghai Key Laboratory of Diabetes Mellitus, Shanghai, China."
40131868,Punicic acid alleviates methylglyoxal-induced oocyte dysfunction during in vitro maturation in mouse species.,  2025,Unknown,Unknown,"Department of Animal Science, College of Agriculture, Isfahan University of Technology, Isfahan, Iran.; Department of Animal Science, College of Agriculture, Isfahan University of Technology, Isfahan, Iran.; Department of Animal Biotechnology, Reproductive Biomedicine Research Center, Royan Institute for Biotechnology, ACECR, Isfahan, Iran.; Department of Animal Science, College of Agriculture, Isfahan University of Technology, Isfahan, Iran.; Department of Animal Biotechnology, Reproductive Biomedicine Research Center, Royan Institute for Biotechnology, ACECR, Isfahan, Iran.; Department of Animal Biotechnology, Reproductive Biomedicine Research Center, Royan Institute for Biotechnology, ACECR, Isfahan, Iran."
40131483,Determination of insulin with ultra-performance liquid chromatography tandem mass spectrometry enhanced by Mg-based micromotors.,25 Mar 2025,Wenjuan Liu,liuwenjuan@njtech.edu.cn.,"College of Chemical and Biological Engineering, Zhejiang University, Hangzhou, 310058, China.; College of Materials Science and Engineering, Research Institute for Biomaterials, Tech Institute for Advanced Materials, Nanjing Tech University, Nanjing, 211816, China.; College of Materials Science and Engineering, Research Institute for Biomaterials, Tech Institute for Advanced Materials, Nanjing Tech University, Nanjing, 211816, China.; College of Materials Science and Engineering, Research Institute for Biomaterials, Tech Institute for Advanced Materials, Nanjing Tech University, Nanjing, 211816, China.; College of Materials Science and Engineering, Research Institute for Biomaterials, Tech Institute for Advanced Materials, Nanjing Tech University, Nanjing, 211816, China.; College of Materials Science and Engineering, Research Institute for Biomaterials, Tech Institute for Advanced Materials, Nanjing Tech University, Nanjing, 211816, China. liuwenjuan@njtech.edu.cn.; Jiangsu Collaborative Innovation Center for Advanced Inorganic Functional Composites, Nanjing Tech University, Nanjing, 211816, China. liuwenjuan@njtech.edu.cn."
40131421,Quinine: rediscovery of an old glucose-lowering drug. Reply to Henquin J-C [letter].,25 Mar 2025,Christine Feinle-Bisset,christine.feinle@adelaide.edu.au.,"Adelaide Medical School, University of Adelaide, Adelaide, SA, Australia.; Centre of Research Excellence in Translating Nutritional Science to Good Health, University of Adelaide, Adelaide, SA, Australia.; Adelaide Medical School, University of Adelaide, Adelaide, SA, Australia.; Centre of Research Excellence in Translating Nutritional Science to Good Health, University of Adelaide, Adelaide, SA, Australia.; Endocrine and Metabolic Unit, Royal Adelaide Hospital, Adelaide, SA, Australia.; Adelaide Medical School, University of Adelaide, Adelaide, SA, Australia. christine.feinle@adelaide.edu.au.; Centre of Research Excellence in Translating Nutritional Science to Good Health, University of Adelaide, Adelaide, SA, Australia. christine.feinle@adelaide.edu.au."
40131420,Quinine: rediscovery of an old glucose-lowering drug.,25 Mar 2025,Jean-Claude Henquin,jean-claude.henquin@uclouvain.be.,"Faculty of Medicine, University of Louvain, Brussels, Belgium. jean-claude.henquin@uclouvain.be."
